val_reg_loss,val_minADE,val_minFDE,val_minMR,epoch,step,train_reg_loss_epoch,train_reg_loss_step
3.1211705207824707,14.972944259643555,28.670042037963867,0.9990625977516174,0,32,,
,,,,0,32,3.3328566551208496,
,,,,1,49,,2.734135866165161
2.6355278491973877,14.980554580688477,28.533044815063477,0.9988599419593811,1,65,,
,,,,1,65,2.5879156589508057,
2.317148447036743,13.7926025390625,28.2637939453125,0.998479962348938,2,98,,
,,,,2,98,2.269922971725464,
,,,,3,99,,2.1911656856536865
2.0016369819641113,13.252781867980957,27.718379974365234,0.9974412322044373,3,131,,
,,,,3,131,1.9660725593566895,
,,,,4,149,,1.5304386615753174
1.7814875841140747,12.783857345581055,27.153589248657227,0.9961998462677002,4,164,,
,,,,4,164,1.686447262763977,
1.6117609739303589,12.315873146057129,26.473093032836914,0.9936157464981079,5,197,,
,,,,5,197,1.5156623125076294,
,,,,6,199,,1.247951865196228
1.4801658391952515,11.914414405822754,25.891817092895508,0.9913862943649292,6,230,,
,,,,6,230,1.3790967464447021,
,,,,7,249,,1.393389344215393
1.381489634513855,11.549297332763672,25.356605529785156,0.9883968234062195,7,263,,
,,,,7,263,1.2689650058746338,
1.30875563621521,11.204431533813477,24.8208065032959,0.9852046966552734,8,296,,
,,,,8,296,1.1922181844711304,
,,,,9,299,,1.1432647705078125
1.2464542388916016,10.89268684387207,24.351850509643555,0.9820632338523865,9,329,,
,,,,9,329,1.1328521966934204,
,,,,10,349,,0.9436377882957458
1.1900951862335205,10.597506523132324,23.8569278717041,0.9785923957824707,10,362,,
,,,,10,362,1.0931870937347412,
1.1253055334091187,10.326183319091797,23.40999412536621,0.9755522608757019,11,395,,
,,,,11,395,1.039401650428772,
,,,,12,399,,1.0641191005706787
1.0888090133666992,10.070977210998535,22.963762283325195,0.9715241193771362,12,428,,
,,,,12,428,0.9947779178619385,
,,,,13,449,,0.8436935544013977
1.0614781379699707,9.833564758300781,22.601499557495117,0.967799961566925,13,461,,
,,,,13,461,0.9596239328384399,
1.0110317468643188,9.585338592529297,22.140199661254883,0.964177131652832,14,494,,
,,,,14,494,0.9445552229881287,
